Periode,Antal,Recidivhændelser,Uddannelse,Køn,Alder
1,9,4,3,0,1
1,2,4,3,0,2
1,2,4,3,0,3
1,6,4,3,0,4
1,5,4,3,0,5
1,1,4,3,0,6
1,1,4,3,0,7
1,475,1,1,1,0
1,547,1,1,1,1
1,318,1,1,1,2
1,217,1,1,1,3
1,112,1,1,1,4
1,113,1,1,1,5
1,15,1,1,1,6
1,1,1,1,1,7
1,13,1,1,0,0
1,18,1,1,0,1
1,6,1,1,0,2
1,15,1,1,0,3
1,11,1,1,0,4
1,14,1,1,0,5
1,0,1,1,0,6
1,2,1,1,0,7
1,14,1,2,1,0
1,13,1,2,1,1
1,7,1,2,1,2
1,5,1,2,1,3
1,1,1,2,1,4
1,5,1,2,1,5
1,1,1,2,1,6
1,1,1,2,1,7
1,0,1,2,0,0
1,1,1,2,0,1
1,0,1,2,0,2
1,0,1,2,0,3
1,0,1,2,0,4
1,1,1,2,0,5
1,0,1,2,0,6
1,0,1,2,0,7
1,131,1,0,1,0
1,102,1,0,1,1
1,66,1,0,1,2
1,49,1,0,1,3
1,42,1,0,1,4
1,44,1,0,1,5
1,6,1,0,1,6
1,1,1,0,1,7
1,1,1,0,0,0
1,0,1,0,0,1
1,1,1,0,0,2
1,3,1,0,0,3
1,0,1,0,0,4
1,5,1,0,0,5
1,1,1,0,0,6
1,0,1,0,0,7
1,0,1,4,1,0
1,0,1,4,1,1
1,2,1,4,1,2
1,1,1,4,1,3
1,6,1,4,1,4
1,7,1,4,1,5
1,0,1,4,1,6
1,0,1,4,1,7
1,0,1,4,0,0
1,0,1,4,0,1
1,0,1,4,0,2
1,2,1,4,0,3
1,1,1,4,0,4
1,3,1,4,0,5
1,3,1,4,0,6
1,0,1,4,0,7
1,32,1,3,1,0
1,98,1,3,1,1
1,74,1,3,1,2
1,28,1,3,1,3
1,35,1,3,1,4
1,24,1,3,1,5
1,4,1,3,1,6
1,0,1,3,1,7
1,0,1,3,0,0
1,2,1,3,0,1
1,0,1,3,0,2
1,1,1,3,0,3
1,1,1,3,0,4
1,1,1,3,0,5
1,0,1,3,0,6
1,0,1,3,0,7
2,3137,5,1,1,0
2,2848,5,1,1,1
2,2110,5,1,1,2
2,1929,5,1,1,3
2,2082,5,1,1,4
2,4396,5,1,1,5
2,2869,5,1,1,6
2,2517,5,1,1,7
2,1211,5,1,0,0
2,809,5,1,0,1
2,577,5,1,0,2
2,585,5,1,0,3
2,618,5,1,0,4
2,1292,5,1,0,5
2,1039,5,1,0,6
2,1015,5,1,0,7
2,1391,5,2,1,0
2,1082,5,2,1,1
2,386,5,2,1,2
2,424,5,2,1,3
2,487,5,2,1,4
2,858,5,2,1,5
2,490,5,2,1,6
2,193,5,2,1,7
2,507,5,2,0,0
2,416,5,2,0,1
2,173,5,2,0,2
2,166,5,2,0,3
2,204,5,2,0,4
2,449,5,2,0,5
2,138,5,2,0,6
2,66,5,2,0,7
2,1924,5,0,1,0
2,3458,5,0,1,1
2,2751,5,0,1,2
2,3101,5,0,1,3
2,3425,5,0,1,4
2,7294,5,0,1,5
2,4678,5,0,1,6
2,3295,5,0,1,7
2,397,5,0,0,0
2,757,5,0,0,1
2,721,5,0,0,2
2,1030,5,0,0,3
2,1310,5,0,0,4
2,2754,5,0,0,5
2,1217,5,0,0,6
2,994,5,0,0,7
2,27,5,4,1,0
2,714,5,4,1,1
2,994,5,4,1,2
2,1542,5,4,1,3
2,1938,5,4,1,4
2,3839,5,4,1,5
2,2511,5,4,1,6
2,1931,5,4,1,7
2,11,5,4,0,0
2,439,5,4,0,1
2,665,5,4,0,2
2,1044,5,4,0,3
2,1446,5,4,0,4
2,2495,5,4,0,5
2,1541,5,4,0,6
2,823,5,4,0,7
2,59,5,3,1,0
2,396,5,3,1,1
2,637,5,3,1,2
2,510,5,3,1,3
2,443,5,3,1,4
2,837,5,3,1,5
2,492,5,3,1,6
2,319,5,3,1,7
2,21,5,3,0,0
2,94,5,3,0,1
2,130,5,3,0,2
2,108,5,3,0,3
2,100,5,3,0,4
2,158,5,3,0,5
2,94,5,3,0,6
2,69,5,3,0,7
2,1322,0,1,1,0
2,1255,0,1,1,1
2,877,0,1,1,2
2,745,0,1,1,3
2,689,0,1,1,4
2,1265,0,1,1,5
2,569,0,1,1,6
2,338,0,1,1,7
2,178,0,1,0,0
2,173,0,1,0,1
2,118,0,1,0,2
2,127,0,1,0,3
2,139,0,1,0,4
2,220,0,1,0,5
2,110,0,1,0,6
2,93,0,1,0,7
2,296,0,2,1,0
2,234,0,2,1,1
2,107,0,2,1,2
2,91,0,2,1,3
2,128,0,2,1,4
2,201,0,2,1,5
