Periode,Antal,Recidivhændelser,Tidligere_domme,Varighed_til_tilbagefald,Køn,Alder
0,54,3,3,2,1,0
0,26,3,3,2,1,1
0,27,3,3,2,1,2
0,21,3,3,2,1,3
0,30,3,3,2,1,4
0,12,3,3,2,1,5
0,4,3,3,2,1,6
0,4,3,3,2,0,0
0,1,3,3,2,0,1
0,6,3,3,2,0,2
0,3,3,3,2,0,3
0,5,3,3,2,0,4
0,0,3,3,2,0,5
0,2,3,3,2,0,6
0,52,3,4,2,1,0
0,34,3,4,2,1,1
0,20,3,4,2,1,2
0,22,3,4,2,1,3
0,26,3,4,2,1,4
0,5,3,4,2,1,5
0,2,3,4,2,1,6
0,1,3,4,2,0,0
0,2,3,4,2,0,1
0,0,3,4,2,0,2
0,1,3,4,2,0,3
0,1,3,4,2,0,4
0,4,3,4,2,0,5
0,0,3,4,2,0,6
0,77,3,5,2,1,0
0,68,3,5,2,1,1
0,37,3,5,2,1,2
0,28,3,5,2,1,3
0,45,3,5,2,1,4
0,6,3,5,2,1,5
0,3,3,5,2,1,6
0,2,3,5,2,0,0
0,3,3,5,2,0,1
0,4,3,5,2,0,2
0,5,3,5,2,0,3
0,4,3,5,2,0,4
0,0,3,5,2,0,5
0,1,3,5,2,0,6
0,13,3,1,2,1,0
0,17,3,1,2,1,1
0,13,3,1,2,1,2
0,7,3,1,2,1,3
0,8,3,1,2,1,4
0,2,3,1,2,1,5
0,0,3,1,2,1,6
0,0,3,1,2,0,0
